Balayage complet {b1 anchor -> meilleur b2 oppose} pour tous les b1 du pool de base (4000 candidats, t=1..100, k=+/-1..10)
N1,N2 bornes a [1,65536]. Genere le 2026-08-29 09:45:11
==============================================================================================================

--- x0 = 13.457 --- (4000 appariements b1 valides : 2000 avec sign1=+, 2000 avec sign1=-  ;  4000 avec erreur < 1e-6) ---
       err |    t1   k1  sg1 |              b1 |    t2   k2  sg2 |              b2 |      N1      N2
  1.34e-10 |    70   -1    + |    11.271712658 |    98   -3    - |    24.978005520 |   13269   43247
  1.34e-10 |     7    4    + |   -34.179631572 |    98   -3    - |    24.978005520 |    1727   30021
  1.35e-10 |    14   -3    + |    29.328067668 |     2   -2    - |    16.211720995 |   13103   17873
  1.35e-10 |    22   -2    + |    20.290076062 |    95   -3    - |    24.978789084 |   49169   22454
  1.35e-10 |    45   -8    + |    74.710128073 |     6   -2    - |    16.065120811 |    4603   42798
  1.35e-10 |     1   -9    - |    79.806521835 |    89   -2    + |    20.343127991 |    1347   55184
  1.35e-10 |    30   -1    - |     6.888933975 |    12   -3    + |    29.317486267 |   27174   53471
  1.35e-10 |    39   -2    - |    15.942547072 |     5   -3    + |    29.239287332 |   28975   22537
  1.35e-10 |    65   -1    + |    11.269479043 |    98   -3    - |    24.978005520 |    9452   30813
  1.35e-10 |    79   -3    + |    29.404625701 |    12   -2    - |    16.006115152 |   40021   53172
  1.36e-10 |    82   -5    + |    47.535094696 |     9   -2    - |    16.028169558 |   10110   45463
  1.36e-10 |    86   -4    + |    38.471661043 |     7   -2    - |    16.050191004 |   22319   65324
  1.37e-10 |    83   -2    + |    20.341264204 |    98   -3    - |    24.978005520 |   52067   22955
  1.38e-10 |    83   -4    - |    34.047057498 |    99   -2    + |    20.345849139 |    4959   43087
  1.39e-10 |    70   -4    - |    34.051888760 |    92   -2    + |    20.343990757 |    1525   13238
  1.39e-10 |    79   -1    + |    11.275185134 |    98   -3    - |    24.978005520 |    8719   28408
  1.39e-10 |    63   -4    + |    38.462672869 |    10   -2    - |    16.019724162 |   19099   55573
  1.40e-10 |    41   -1    - |     6.875869744 |     8   -3    + |    29.285452495 |    3655    7229
  1.40e-10 |    81   -2    + |    20.340597390 |    95   -3    - |    24.978789084 |   57407   25315
  1.40e-10 |    26   -5    - |    43.154514923 |    91   -2    + |    20.343707913 |    2981   45031
  1.40e-10 |    93   -7    + |    65.667870447 |     3   -2    - |    16.148258708 |    2487   19459
  1.41e-10 |    83    2    + |   -15.917616931 |    96   -3    - |    24.978523819 |    4453   52129
  1.41e-10 |    87  -10    + |    92.860290460 |     9   -2    - |    16.028169558 |    3449   42783
  1.41e-10 |    93    5    - |   -47.538429879 |    12   -3    + |    29.317486267 |    3109   28508
  1.41e-10 |    67   -9    - |    79.376800385 |    97   -2    + |    20.345338752 |     427   17391
  1.41e-10 |    11   -6    - |    52.271337287 |    90   -2    + |    20.343420368 |    1949   41979
  1.42e-10 |    25   -3    - |    25.026995687 |    92   -2    + |    20.343990757 |   26095   60206
  1.42e-10 |   100    3    - |   -29.410818856 |     3   -3    + |    29.175342710 |    7933   54743
  1.42e-10 |    34    2    - |   -20.310707207 |     8   -3    + |    29.285452495 |   10121   56581
  1.42e-10 |     8   -8    + |    74.609053913 |     5   -2    - |    16.084314086 |    6331   58951
  1.43e-10 |     8    2    - |   -20.220732211 |     7   -3    + |    29.273410414 |   11099   62015
  1.43e-10 |    86   -6    + |    56.601101611 |     1   -2    - |    16.353479850 |     655    4221
  1.43e-10 |    17   -4    - |    34.112752010 |    96   -2    + |    20.345077599 |    6345   55394
  1.43e-10 |    47  -10    - |    88.453250115 |    96   -2    + |    20.345077599 |     553   26066
  1.44e-10 |    94   -4    - |    34.043778854 |    90   -2    + |    20.343420368 |    6221   53945
  1.44e-10 |    74    2    - |   -20.338054394 |     7   -3    + |    29.273410414 |    3993   22373
  1.45e-10 |    93   -3    - |    24.979332390 |    98   -2    + |    20.345595898 |   16175   36816
  1.46e-10 |    30   -4    + |    38.434667443 |     4   -2    - |    16.110282639 |   20583   60749
  1.46e-10 |    84   10    + |   -88.435054757 |    90   -3    - |    24.980181050 |    1122   38395
  1.46e-10 |    49   -8    - |    70.322320768 |    98   -2    + |    20.345595898 |     847   29081
  1.46e-10 |    72    2    + |   -15.921620580 |    94   -3    - |    24.979058570 |    1261   14761
  1.46e-10 |    59   -7    + |    65.654754222 |    12   -2    - |    16.006115152 |    4541   34642
  1.46e-10 |    32    7    - |   -65.631696878 |     5   -3    + |    29.239287332 |    1664   19443
  1.46e-10 |    68   -2    - |    15.923312044 |     3   -3    + |    29.175342710 |   59533   46859
  1.46e-10 |    18   -9    + |    83.731990317 |     8   -2    - |    16.038148923 |    4532   49085
  1.47e-10 |    89   10    + |   -88.433515412 |    91   -3    - |    24.979893506 |     669   22895
  1.47e-10 |     5   -1    + |    11.109846765 |    89   -3    - |    24.980473427 |    3179   10513
  1.47e-10 |    57   -3    - |    24.993569494 |    92   -2    + |    20.343990757 |    5487   12530
  1.47e-10 |    66   -8    + |    74.722987978 |     7   -2    - |    16.050191004 |    6679   61953
  1.47e-10 |    69    1    - |   -11.271285426 |     3   -3    + |    29.175342710 |   14534   64741
  1.47e-10 |    24   -3    + |    29.359285914 |     2   -2    - |    16.211720995 |   38616   52891
  1.47e-10 |    28    2    + |   -15.956824737 |    95   -3    - |    24.978789084 |    3383   39641
  1.47e-10 |    40    1    - |   -11.252610641 |     7   -3    + |    29.273410414 |   13247   58205
  1.48e-10 |    13   -3    + |    29.323081922 |     2   -2    - |    16.211720995 |   21069   28720
  1.48e-10 |    45   -9    - |    79.390116749 |    90   -2    + |    20.343420368 |    1131   46012
  1.48e-10 |    66  -10    + |    92.852428545 |     1   -2    - |    16.353479850 |    3347   44011
  1.48e-10 |    86   -3    - |    24.981380942 |    94   -2    + |    20.344542848 |   11350   25831
  1.48e-10 |    11   -5    - |    43.206617004 |    96   -2    + |    20.345077599 |    4033   61130
  1.48e-10 |    34    8    + |   -70.336495630 |    93   -3    - |    24.979332390 |    2129   60905
  1.48e-10 |    49   -6    + |    56.583763203 |    12   -2    - |    16.006115152 |    4577   27701
  1.48e-10 |    52   -9    - |    79.384970999 |    98   -2    + |    20.345595898 |     619   25219
  1.49e-10 |    59   -1    + |    11.266432521 |    95   -3    - |    24.978789084 |   16959   55288
  1.49e-10 |    27   -3    - |    25.023260698 |    89   -2    + |    20.343127991 |   25252   58159
  1.50e-10 |    16   -5    - |    43.181162544 |   100   -2    + |    20.346098573 |    3052   46239
  1.50e-10 |    94   -8    + |    74.732864550 |     9   -2    - |    16.028169558 |    7016   64841
  1.50e-10 |     6    2    - |   -20.193760324 |    10   -3    + |    29.303877256 |    3540   19687
  1.50e-10 |    44    3    + |   -25.002628762 |    91   -3    - |    24.979893506 |    4493   65252
  1.51e-10 |    83    3    + |   -24.982337215 |    96   -3    - |    24.978523819 |    4190   60851
  1.51e-10 |    15   -3    - |    25.055774887 |    91   -2    + |    20.343707913 |   21043   48968
  1.51e-10 |    43    5    - |   -47.514270889 |     9   -3    + |    29.295431860 |    4489   41268
  1.51e-10 |    42   -4    - |    34.069104896 |    95   -2    + |    20.344812334 |    5749   50004
  1.52e-10 |    98   -1    + |    11.280875614 |    93   -3    - |    24.979332390 |   20054   65277
  1.52e-10 |    84   -1    + |    11.276868363 |    89   -3    - |    24.980473427 |   12373   40276
  1.52e-10 |    72    2    - |   -20.337260555 |     5   -3    + |    29.239287332 |    3381   19030
  1.52e-10 |     8   -8    - |    70.426470625 |    98   -2    + |    20.345595898 |     851   29281
  1.53e-10 |     6   -3    - |    25.129841095 |    93   -2    + |    20.344269028 |   23138   55075
  1.53e-10 |    69   -6    + |    56.594886844 |     3   -2    - |    16.148258708 |   10106   62733
  1.53e-10 |    88    1    + |    -6.851330204 |    96   -3    - |    24.978523819 |    6095   54182
  1.53e-10 |    44   -8    + |    74.709294358 |     9   -2    - |    16.028169558 |    5312   49071
  1.54e-10 |    98    5    + |   -43.107446087 |    97   -3    - |    24.978262666 |    3044   61355
  1.54e-10 |     8   -1    - |     6.973428639 |     2   -3    + |    29.111880423 |   27788   55889
  1.55e-10 |    60    3    - |   -29.396412400 |    10   -3    + |    29.303877256 |    4666   31641
  1.55e-10 |     4   -7    - |    61.433884057 |    99   -2    + |    20.345849139 |    1912   53641
  1.55e-10 |    51   -1    - |     6.867878426 |    11   -3    + |    29.311145266 |   28815   56828
  1.56e-10 |    57   -2    - |    15.928849211 |    10   -3    + |    29.303877256 |   58775   45431
  1.56e-10 |    97   -1    + |    11.280618468 |    96   -3    - |    24.978523819 |    7216   23495
  1.57e-10 |    49   -1    + |    11.260161785 |    94   -3    - |    24.979058570 |   12465   40658
  1.57e-10 |    98    2    - |   -20.345595898 |    12   -3    + |    29.317486267 |   10823   60299
  1.57e-10 |    58    2    + |   -15.928281526 |    99   -3    - |    24.977752279 |    4607   53960
  1.57e-10 |    56    1    + |    -6.864711745 |    91   -3    - |    24.979893506 |    6143   54611
  1.58e-10 |    81    1    + |    -6.853563461 |    95   -3    - |    24.978789084 |    7306   64947
  1.58e-10 |    53   -5    + |    47.521763630 |     3   -2    - |    16.148258708 |    4146   19033
  1.58e-10 |    40    5    - |   -47.511491775 |     6   -3    + |    29.258480607 |    3835   35428
  1.58e-10 |    43   -4    - |    34.068211664 |    94   -2    + |    20.344542848 |    6077   52843
  1.59e-10 |    10   -1    - |     6.955003878 |     6   -3    + |    29.258480607 |   12031   23754
  1.59e-10 |    88   -5    + |    47.536991498 |     4   -2    - |    16.110282639 |    2263   10325
  1.59e-10 |     4    3    - |   -29.213318780 |     8   -3    + |    29.285452495 |    8175   55373
  1.60e-10 |    91   -1    + |    11.278987629 |    91   -3    - |    24.979893506 |    4724   15377
  1.60e-10 |    96    3    + |   -24.978523819 |    98   -3    - |    24.978005520 |    3345   48583
  1.61e-10 |    19    7    + |   -61.300425672 |    95   -3    - |    24.978789084 |    2301   59377
  1.61e-10 |    49    2    + |   -15.933999066 |    95   -3    - |    24.978789084 |    4164   48763
  1.61e-10 |    46   -1    + |    11.257892479 |    89   -3    - |    24.980473427 |    9190   29969
  1.62e-10 |    58   -3    + |    29.395319893 |     2   -2    - |    16.211720995 |   31141   42855
  1.62e-10 |    91    5    - |   -47.537868763 |    10   -3    + |    29.303877256 |    6189   56852
  1.63e-10 |    96    6    - |   -56.603958733 |     4   -3    + |    29.213318780 |    2792   29355
  1.63e-10 |    72   -1    - |     6.856900296 |     4   -3    + |    29.213318780 |   31601   63187
  1.63e-10 |    73   -3    + |    29.402381835 |    12   -2    - |    16.006115152 |   38210   50751
  1.64e-10 |    31   -1    - |     6.887465001 |    10   -3    + |    29.303877256 |   20891   41186
  1.65e-10 |    54   -1    - |     6.865925565 |    11   -3    + |    29.311145266 |   22231   43849
  1.65e-10 |    42    3    - |   -29.383937090 |     1   -3    + |    28.970121569 |    7477   53037
  1.65e-10 |     8    2    + |   -16.038148923 |   100   -3    - |    24.977502845 |    3749   44042
  1.66e-10 |    54    2    + |   -15.930645849 |    92   -3    - |    24.979610661 |    3265   38222
  1.66e-10 |    97   -3    + |    29.410059035 |     1   -2    - |    16.353479850 |   15218   21533
  1.66e-10 |    65    8    + |   -70.313003510 |   100   -3    - |    24.977502845 |     847   24238
  1.67e-10 |    46   -6    - |    52.195149507 |    99   -2    + |    20.345849139 |    2631   56624
  1.67e-10 |    44   -2    - |    15.937908478 |     1   -3    + |    28.970121569 |   49675   40112
  1.67e-10 |    50   -2    - |    15.933288389 |     7   -3    + |    29.273410414 |   62029   48104
  1.67e-10 |    61   -3    + |    29.396938399 |     3   -2    - |    16.148258708 |   28588   38905
  1.67e-10 |    56    1    - |   -11.264728822 |    12   -3    + |    29.317486267 |    7577   33110
  1.67e-10 |    52   -4    + |    38.456392688 |    10   -2    - |    16.019724162 |   11679   33970
  1.67e-10 |   100    4    - |   -38.475539140 |     6   -3    + |    29.258480607 |    6872   55203
  1.68e-10 |    93   -5    + |    47.538429879 |     5   -2    - |    16.084314086 |    5405   24549
  1.68e-10 |    87   -3    - |    24.981073227 |    95   -2    + |    20.344812334 |    4535   10322
  1.68e-10 |    19    2    + |   -15.976824253 |    91   -3    - |    24.979893506 |    3538   41465
  1.68e-10 |    48   -2    - |    15.934731829 |     2   -3    + |    29.111880423 |   41599   32961
  1.68e-10 |    98   -4    + |    38.475036465 |     7   -2    - |    16.050191004 |   19249   56350
  1.68e-10 |   100    4    + |   -34.042223129 |    95   -3    - |    24.978789084 |    3041   52720
  1.68e-10 |     5   -7    + |    65.498168467 |     8   -2    - |    16.038148923 |    7903   60411
  1.69e-10 |    77   -3    + |    29.403906947 |     2   -2    - |    16.211720995 |   25067   34535
  1.69e-10 |    24    6    - |   -56.553446765 |     4   -3    + |    29.213318780 |    5006   52599
  1.69e-10 |     4   -3    - |    25.175002922 |    96   -2    + |    20.345077599 |   26707   64459
  1.69e-10 |    25   -7    + |    65.620207149 |     9   -2    - |    16.028169558 |    7909   60520
  1.70e-10 |    14   -2    + |    20.263347384 |    91   -3    - |    24.979893506 |   63847   29677
  1.70e-10 |    18    4    - |   -38.408388899 |     4   -3    + |    29.213318780 |    6135   49526
  1.70e-10 |    37   -3    - |    25.009380925 |    99   -2    + |    20.345849139 |   23539   54087
  1.70e-10 |     7    1    - |   -11.143969847 |     1   -3    + |    28.970121569 |   12032   54909
  1.70e-10 |    64   -1    + |    11.269001195 |    99   -3    - |    24.977752279 |    5942   19373
  1.70e-10 |    90   -6    + |    56.602301502 |     5   -2    - |    16.084314086 |   10643   65336
  1.72e-10 |     2   -1    + |    10.982439856 |    91   -3    - |    24.979893506 |    6115   20468
  1.72e-10 |     5   -5    + |    47.368727900 |     7   -2    - |    16.050191004 |    6451   28933
  1.72e-10 |    96    1    - |   -11.280357315 |     9   -3    + |    29.295431860 |   11987   52559
  1.72e-10 |    45   -1    + |    11.257086088 |    95   -3    - |    24.978789084 |   13806   45049
  1.73e-10 |    59    3    + |   -24.992448614 |   100   -3    - |    24.977502845 |    2022   29381
  1.73e-10 |    94   -3    - |    24.979058570 |    96   -2    + |    20.345077599 |   19918   45315
  1.73e-10 |    17    8    - |   -74.663891394 |     6   -3    + |    29.258480607 |    4543   58419
  1.73e-10 |   100    7    - |   -65.669699991 |     2   -3    + |    29.111880423 |    4729   56238
  1.73e-10 |     3   -3    - |    25.212978992 |    89   -2    + |    20.343127991 |    8903   21697
  1.74e-10 |    53   -8    - |    70.319600057 |    92   -2    + |    20.343990757 |     491   16838
  1.75e-10 |    22   -1    + |    11.225355778 |    95   -3    - |    24.978789084 |   19948   65287
  1.75e-10 |    40   -8    - |    70.329871912 |   100   -2    + |    20.346098573 |    1709   58707
  1.75e-10 |    68   -9    - |    79.376354030 |    93   -2    + |    20.344269028 |     109    4436
  1.75e-10 |    47    9    + |   -79.388529831 |    92   -3    - |    24.979610661 |    2075   65189
  1.75e-10 |    97    5    + |   -43.107703234 |    89   -3    - |    24.980473427 |    1757   35390
  1.76e-10 |    37   -8    + |    74.702542195 |    12   -2    - |    16.006115152 |    4399   40476
  1.76e-10 |    44   -2    + |    20.320972656 |    92   -3    - |    24.979610661 |   53466   23897
  1.76e-10 |    58   -2    - |    15.928281526 |    10   -3    + |    29.303877256 |   24132   18655
  1.76e-10 |    38   -2    + |    20.315298126 |    93   -3    - |    24.979332390 |   44251   19858
  1.76e-10 |    24    7    - |   -65.618167048 |     3   -3    + |    29.175342710 |    5033   59306
  1.77e-10 |    15   -6    - |    52.249935738 |    99   -2    + |    20.345849139 |    1543   33268
  1.77e-10 |    62    2    - |   -20.332731341 |     6   -3    + |    29.258480607 |    8251   46317
  1.77e-10 |    88    1    - |   -11.278110363 |     1   -3    + |    28.970121569 |   12989   59518
  1.77e-10 |    87    6    + |   -52.175234078 |    93   -3    - |    24.979332390 |     971   22300
  1.78e-10 |    38   -8    - |    70.331904710 |   100   -2    + |    20.346098573 |    1433   49228
  1.78e-10 |   100   -1    - |     6.848062278 |     1   -3    + |    28.970121569 |   22333   46189
  1.79e-10 |    73    9    - |   -83.790703537 |     6   -3    + |    29.258480607 |    3343   47057
  1.79e-10 |    90    6    + |   -52.174341901 |    89   -3    - |    24.980473427 |    2217   50897
  1.79e-10 |    19   -7    + |    65.605658299 |     9   -2    - |    16.028169558 |    1612   12331
  1.79e-10 |    50   -5    + |    47.519753597 |    12   -2    - |    16.006115152 |    4942   22125
  1.79e-10 |    86   -2    - |    15.916660659 |     8   -3    + |    29.285452495 |   13238   10279
  1.79e-10 |    84   -8    - |    70.305614190 |    98   -2    + |    20.345595898 |    1542   52925
  1.79e-10 |    11   -8    + |    74.634746684 |     9   -2    - |    16.028169558 |    6705   61852
  1.79e-10 |    16   -4    - |    34.116442261 |    97   -2    + |    20.345338752 |    5602   48931
  1.80e-10 |    55   -9    - |    79.383072651 |    98   -2    + |    20.345595898 |    1247   50803
  1.80e-10 |    58   -9    + |    83.783641594 |     5   -2    - |    16.084314086 |    4289   46870
  1.80e-10 |    77    9    - |   -83.792228649 |    11   -3    + |    29.311145266 |    2812   39307
  1.80e-10 |    38   -4    - |    34.073023576 |    91   -2    + |    20.343707913 |    5605   48729
  1.80e-10 |    20   -2    + |    20.284929509 |    95   -3    - |    24.978789084 |    4517    2070
  1.81e-10 |    87   -3    + |    29.407248474 |     3   -2    - |    16.148258708 |   34037   46383
  1.81e-10 |    67   -3    - |    24.988478683 |    91   -2    + |    20.343707913 |   21225   48383
  1.82e-10 |    91    1    + |    -6.850452938 |    99   -3    - |    24.977752279 |     479    4259
  1.82e-10 |    55   -6    - |    52.188911800 |    93   -2    + |    20.344269028 |    2815   60504
  1.82e-10 |    78   -3    + |    29.404269779 |    11   -2    - |    16.012456153 |   23645   31448
  1.83e-10 |    56   -1    - |     6.864711745 |     3   -3    + |    29.175342710 |   26515   53261
  1.83e-10 |    39   -2    + |    20.316334063 |    97   -3    - |    24.978262666 |   26617   11940
  1.83e-10 |    47    3    - |   -29.388113573 |    11   -3    + |    29.311145266 |    8819   59736
  1.83e-10 |    13   -1    + |    11.193641355 |    97   -3    - |    24.978262666 |    8925   29303
  1.84e-10 |    74   -8    + |    74.726376096 |     9   -2    - |    16.028169558 |    6239   57653
  1.85e-10 |    28    1    + |    -6.892104454 |    93   -3    - |    24.979332390 |    6971   62042
  1.85e-10 |    81   -5    - |    43.112444596 |   100   -2    + |    20.346098573 |    1228   18545
  1.85e-10 |    51    5    + |   -43.126759560 |    97   -3    - |    24.978262666 |    2092   42179
  1.86e-10 |    90    3    + |   -24.980181050 |    99   -3    - |    24.977752279 |    4179   60703
  1.86e-10 |    27   -3    + |    29.365061003 |    11   -2    - |    16.012456153 |   23451   31030
  1.86e-10 |    80   -3    - |    24.983346772 |    98   -2    + |    20.345595898 |   22069   50294
  1.86e-10 |    90   -2    + |    20.343420368 |    91   -3    - |    24.979893506 |   43053   18941
  1.86e-10 |    88   -1    + |    11.278110363 |    89   -3    - |    24.980473427 |   18409   59917
  1.86e-10 |    31    1    + |    -6.887465001 |    90   -3    - |    24.980181050 |    5753   51180
  1.87e-10 |    15   -2    + |    20.267826531 |   100   -3    - |    24.977502845 |   52867   24518
  1.87e-10 |    75    2    - |   -20.338439356 |    12   -3    + |    29.317486267 |    6716   37411
  1.87e-10 |    68   -2    + |    20.335569090 |    96   -3    - |    24.978523819 |     653     289
  1.88e-10 |    95   -3    + |    29.409532618 |     3   -2    - |    16.148258708 |   42186   57505
  1.88e-10 |    60   -1    + |    11.266971832 |    97   -3    - |    24.978262666 |    5997   19553
  1.89e-10 |    11   -6    + |    56.505306117 |     5   -2    - |    16.084314086 |    4155   25436
  1.89e-10 |    50    5    - |   -47.519753597 |     9   -3    + |    29.295431860 |     913    8394
  1.89e-10 |    23   -2    + |    20.292393997 |    94   -3    - |    24.979058570 |   33739   15382
  1.89e-10 |    81   10    - |   -92.858359659 |    10   -3    + |    29.303877256 |    2547   38698
  1.89e-10 |    88   -2    - |    15.916050488 |     2   -3    + |    29.111880423 |   65346   51943
  1.89e-10 |    58    6    - |   -56.589480744 |     2   -3    + |    29.111880423 |    4132   44035
  1.90e-10 |    40   -2    - |    15.941550210 |     7   -3    + |    29.273410414 |   48446   37517
  1.90e-10 |   100    3    + |   -24.977502845 |    91   -3    - |    24.979893506 |    1871   27158
  1.90e-10 |    63  -10    - |    88.443411102 |    96   -2    + |    20.345077599 |    1158   54575
  1.90e-10 |    14   -3    - |    25.060254034 |    93   -2    + |    20.344269028 |   26787   62444
  1.91e-10 |    13   -2    + |    20.258361639 |    90   -3    - |    24.980181050 |   35497   16553
  1.92e-10 |    55   -5    - |    43.124191517 |    97   -2    + |    20.345338752 |    2873   43388
  1.92e-10 |    13   -4    + |    38.387802206 |    10   -2    - |    16.019724162 |   13174   38161
  1.92e-10 |    84   -1    - |     6.852572204 |     5   -3    + |    29.239287332 |   13892   27689
  1.92e-10 |    16   -3    - |    25.051721977 |    99   -2    + |    20.345849139 |   11898   27695
  1.93e-10 |    90    7    - |   -65.667021786 |     6   -3    + |    29.258480607 |    2850   33229
  1.94e-10 |    50    9    + |   -79.386330374 |    98   -3    - |    24.978005520 |      51    1603
  1.94e-10 |    26   -7    + |    65.622128481 |    12   -2    - |    16.006115152 |    6205   47301
  1.95e-10 |    37   -4    - |    34.074101209 |    91   -2    + |    20.343707913 |    5858   50933
  1.96e-10 |    15    7    + |   -61.314656022 |    97   -3    - |    24.978262666 |    2413   62288
  1.96e-10 |    38   -9    + |    83.768340112 |     7   -2    - |    16.050191004 |    3692   40095
  1.97e-10 |    67    8    + |   -70.312080102 |    98   -3    - |    24.978005520 |    1439   41172
  1.97e-10 |    16    4    - |   -38.401320009 |     1   -3    + |    28.970121569 |    6151   51324
  1.97e-10 |    24   -4    - |    34.093756072 |    94   -2    + |    20.344542848 |    4508   39281
  1.97e-10 |    97    4    - |   -38.474779319 |     7   -3    + |    29.273410414 |    4243   34016
  1.98e-10 |    19   -3    + |    29.346777165 |    10   -2    - |    16.019724162 |   40199   53130
  1.98e-10 |    10   -4    - |    34.149164729 |    99   -2    + |    20.345849139 |    3479   30479
  1.98e-10 |    91   -5    - |    43.109334073 |    96   -2    + |    20.345077599 |    4149   62603
  1.98e-10 |     5   -4    - |    34.213754653 |    98   -2    + |    20.345595898 |    7316   64417
  1.98e-10 |     5   -3    + |    29.239287332 |     7   -2    - |    16.050191004 |   21623   28324
  1.98e-10 |     7   -2    - |    16.050191004 |     5   -3    + |    29.239287332 |   28324   21623
  1.98e-10 |    39   -3    + |    29.381054347 |    10   -2    - |    16.019724162 |   38917   51668
  1.99e-10 |    29   -4    + |    38.433123179 |     9   -2    - |    16.028169558 |    7659   22279
  1.99e-10 |     1    2    + |   -16.353479850 |    93   -3    - |    24.979332390 |    3657   43295
  1.99e-10 |    88   -2    + |    20.342830647 |   100   -3    - |    24.977502845 |   37082   16333
  2.00e-10 |    47   -4    + |    38.452833856 |     3   -2    - |    16.148258708 |   16395   48769
  2.00e-10 |    33    1    + |    -6.884729854 |    96   -3    - |    24.978523819 |    7307   65032
  2.00e-10 |    83   -8    - |    70.305938633 |    89   -2    + |    20.343127991 |     392   13431
  2.00e-10 |    85   -6    - |    52.175854921 |    92   -2    + |    20.343990757 |    2398   51509
  2.00e-10 |   100   -7    - |    61.236383980 |    94   -2    + |    20.344542848 |    1285   35838
  2.00e-10 |    59   -6    - |    52.186609465 |    98   -2    + |    20.345595898 |    2633   56641
  2.01e-10 |    22   -8    + |    74.678397764 |     1   -2    - |    16.353479850 |    4837   47344
  2.01e-10 |    99   -3    + |    29.410569423 |    11   -2    - |    16.012456153 |   39296   52307
  2.01e-10 |    85    3    - |   -29.406627632 |     6   -3    + |    29.258480607 |    8407   57366
  2.01e-10 |    75   -8    + |    74.726761058 |     9   -2    - |    16.028169558 |    4489   41482
  2.01e-10 |    51   -8    - |    70.320920411 |    91   -2    + |    20.343707913 |    1820   62403
  2.01e-10 |    29   -4    - |    34.084639091 |   100   -2    + |    20.346098573 |    1790   15603
  2.02e-10 |    78    2    + |   -15.919331639 |   100   -3    - |    24.977502845 |    5355   62711
  2.02e-10 |    85   -5    + |    47.536068199 |     7   -2    - |    16.050191004 |   11360   51283
  2.02e-10 |    77   -2    - |    15.919694471 |     6   -3    + |    29.258480607 |   44448   34619
  2.02e-10 |    75    1    + |    -6.855721495 |    91   -3    - |    24.979893506 |    2641   23471
  2.03e-10 |    95    6    - |   -56.603693469 |     1   -3    + |    28.970121569 |    5927   64418
  2.03e-10 |    20   -1    - |     6.909231342 |     6   -3    + |    29.258480607 |   30057   59528
  2.03e-10 |    31    2    + |   -15.952185285 |    96   -3    - |    24.978523819 |    1892   22169
  2.04e-10 |    74   -2    - |    15.920826740 |     1   -3    + |    28.970121569 |   36641   29674
  2.04e-10 |    33   -4    - |    34.078890705 |    98   -2    + |    20.345595898 |    7283   63432
  2.04e-10 |    56    4    + |   -34.058872596 |    97   -3    - |    24.978262666 |    3731   64712
  2.05e-10 |    23   -1    - |     6.901766854 |     2   -3    + |    29.111880423 |   32316   65311
  2.06e-10 |    71  -10    - |    88.439792285 |    95   -2    + |    20.344812334 |    1279   60263
  2.06e-10 |    86    1    - |   -11.277500192 |     8   -3    + |    29.285452495 |    7193   31578
  2.07e-10 |    92    9    + |   -79.367932363 |    97   -3    - |    24.978262666 |    1711   53765
  2.07e-10 |    15  -10    + |    92.785588800 |     6   -2    - |    16.065120811 |    2219   27675
  2.07e-10 |    25   10    - |   -92.814368000 |     3   -3    + |    29.175342710 |    2734   42243
  2.08e-10 |    49   -4    - |    34.063439633 |   100   -2    + |    20.346098573 |    5945   51732
  2.08e-10 |    69    4    - |   -38.465446277 |     9   -3    + |    29.295431860 |    6625   52949
  2.08e-10 |    36   -8    - |    70.334104548 |    89   -2    + |    20.343127991 |    1716   58829
  2.09e-10 |    89   -9    - |    79.368795129 |    97   -2    + |    20.345338752 |    1583   64464
  2.09e-10 |    12   -6    + |    56.511647118 |     1   -2    - |    16.353479850 |    5597   35976
  2.09e-10 |    66    4    - |   -38.464106843 |     5   -3    + |    29.239287332 |    2974   23947
  2.09e-10 |    96   -4    + |    38.474518166 |     5   -2    - |    16.084314086 |   13856   40805
  2.09e-10 |     6    1    + |    -7.000400527 |    92   -3    - |    24.979610661 |    4574   40859
  2.10e-10 |    37    7    + |   -61.268262060 |    92   -3    - |    24.979610661 |    1025   26433
  2.10e-10 |    14   -8    - |    70.383855452 |    95   -2    + |    20.344812334 |    1676   57585
  2.11e-10 |     1    5    - |   -47.099562136 |     6   -3    + |    29.258480607 |    3451   31691
  2.12e-10 |    11   -3    + |    29.311145266 |     6   -2    - |    16.065120811 |   46930   62227
  2.12e-10 |    43   -1    + |    11.255389754 |    94   -3    - |    24.979058570 |   19973   65177
  2.12e-10 |     6    2    + |   -16.065120811 |    92   -3    - |    24.979610661 |    4097   48133
  2.12e-10 |    37    5    + |   -43.138821492 |    95   -3    - |    24.978789084 |    2997   60427
  2.12e-10 |    96   -3    + |    29.409797882 |     1   -2    - |    16.353479850 |   34033   48154
  2.13e-10 |     5   -4    + |    38.304007616 |     5   -2    - |    16.084314086 |   18541   54045
  2.13e-10 |    40   -7    - |    61.265151628 |    98   -2    + |    20.345595898 |    1657   46281
  2.13e-10 |    34    5    + |   -43.142334779 |    94   -3    - |    24.979058570 |    1748   35243
  2.13e-10 |    90    9    - |   -83.796462353 |     2   -3    + |    29.111880423 |    1529   21953
  2.15e-10 |    34   -5    + |    47.504868058 |     4   -2    - |    16.110282639 |   12526   57079
  2.15e-10 |    87    1    - |   -11.277807907 |     6   -3    + |    29.258480607 |    7112   31335
  2.16e-10 |    69   -4    + |    38.465446277 |     4   -2    - |    16.110282639 |   20702   61213
